id,bucket,format,hook,angle,hashtags,status
1,Validation,Talking head,"They called it laziness. It's not. It's a brain stuck between knowing and doing.",Core Slam5 value prop — this exact phrase went 5.5M views. Your version: founder POV.,"#adhd #adhdproductivity #adhdtips",todo
2,Validation,Talking head,"You're not lazy. You're not broken. Your brain just needs a different system.",Emotional validation — highest ER category (17%+),"#adhd #neurodivergent #adhdcheck",todo
3,Validation,Talking head,"ADHD isn't a productivity problem. It's a starting problem.",Direct setup for Slam5 solution,"#adhd #adhdtips #productivity",todo
4,Validation,Talking head,"Trying to be consistent like a neurotypical is the fastest way to burn out.",Counterintuitive — this exact angle got 1.7M views / 17.6% ER,"#adhd #adhdtiktok #burnout",todo
5,Validation,Talking head,"Nobody told me that ADHD paralysis is a real thing. I thought I was just failing.",Personal story + validation,"#adhd #adhdparalysis #relatableadhd",todo
6,Validation,Text slides,"The ADHD tax: hours lost to starting, not doing.",Relatable pain point,"#adhd #adhdprobs #adhdlife",todo
7,Validation,Talking head,"Being gaslit into thinking you're lazy when your brain is working twice as hard.",Validation of shared experience — 17.4% ER format,"#adhd #adhdsupport #neurodivergent",todo
8,Validation,Talking head,"I spent 20 years thinking I was a bad person. I had ADHD.",Identity validation — late diagnosis angle,"#adhd #latediagnosed #adhdcheck",todo
9,Validation,Text slides,"ADHD isn't: laziness, bad attitude, lack of willpower. ADHD is: dopamine dysregulation, executive dysfunction, interest-based nervous system.",Education through validation,"#adhd #adhdawareness #dopamine",todo
10,Validation,Talking head,"You finish other people's tasks easily but can't start your own. That's ADHD.",Specific relatable truth,"#adhd #adhdtips #executivefunction",todo
11,Education,Talking head,"Why your brain can do 6 hours straight on something fun but can't do 20 minutes on what matters.",Dopamine/interest-based nervous system explained simply,"#adhd #dopamine #adhdtips",todo
12,Education,Text slides,"ADHD brain doesn't run on time. It runs on interest, urgency, challenge, and passion.",Science made simple — very shareable format,"#adhd #neurodivergent #adhdcheck",todo
13,Education,Talking head,"Task initiation is a neurological problem, not a motivation problem. Here's what that means.",Reframing — educational but validating,"#adhd #executivefunction #adhdbrain",todo
14,Education,Talking head,"Why deadlines are the only thing that works for ADHD brains — and why that's a problem long-term.",Explains the urgency addiction,"#adhd #adhdtips #productivity",todo
